w_pop,w_builtup,w_flood,w_hh_size,overlap_top13,exact_top13,overlap_top5,top1_same,max_shift_top13
0.474,0.211,0.105,0.211,12,False,4,False,10
0.45,0.2,0.1,0.25,11,False,4,False,10
0.429,0.19,0.095,0.286,10,False,4,False,10
0.5,0.222,0.167,0.111,12,False,4,True,9
0.474,0.211,0.158,0.158,12,False,4,True,9
0.45,0.2,0.15,0.2,12,False,4,True,7
0.429,0.19,0.143,0.238,11,False,4,True,8
0.409,0.182,0.136,0.273,11,False,4,False,8
0.474,0.211,0.211,0.105,13,True,4,True,7
0.45,0.2,0.2,0.15,12,False,4,True,7
0.429,0.19,0.19,0.19,12,False,4,True,6
0.409,0.182,0.182,0.227,11,False,5,True,3
0.391,0.174,0.174,0.261,11,False,5,True,3
0.45,0.2,0.25,0.1,13,True,3,True,5
0.429,0.19,0.238,0.143,13,True,4,True,2
0.409,0.182,0.227,0.182,12,False,4,True,2
0.391,0.174,0.217,0.217,12,False,4,True,1
0.375,0.167,0.208,0.25,12,False,4,True,2
0.429,0.19,0.286,0.095,12,False,3,True,5
0.409,0.182,0.273,0.136,12,False,3,True,4
0.391,0.174,0.261,0.174,12,False,4,True,3
0.375,0.167,0.25,0.208,12,False,4,True,4
0.36,0.16,0.24,0.24,12,False,4,False,3
0.5,0.278,0.111,0.111,12,False,3,True,9
0.474,0.263,0.105,0.158,12,False,4,True,9
0.45,0.25,0.1,0.2,12,False,4,False,10
0.429,0.238,0.095,0.238,10,False,4,False,10
0.409,0.227,0.091,0.273,10,False,4,False,10
0.474,0.263,0.158,0.105,12,False,4,True,9
0.45,0.25,0.15,0.15,12,False,4,True,8
0.429,0.238,0.143,0.19,12,False,4,True,8
0.409,0.227,0.136,0.227,11,False,4,True,8
0.391,0.217,0.13,0.261,11,False,4,True,8
0.45,0.25,0.2,0.1,13,True,4,True,6
0.429,0.238,0.19,0.143,13,True,4,True,6
0.409,0.227,0.182,0.182,12,False,4,True,6
0.391,0.217,0.174,0.217,12,False,5,True,4
0.375,0.208,0.167,0.25,12,False,5,True,4
0.429,0.238,0.238,0.095,13,True,4,True,3
0.409,0.227,0.227,0.136,13,True,4,True,2
0.391,0.217,0.217,0.174,13,True,4,True,2
0.375,0.208,0.208,0.208,12,False,4,True,1
0.36,0.2,0.2,0.24,12,False,4,True,2
0.409,0.227,0.273,0.091,12,False,3,True,4
0.391,0.217,0.261,0.13,12,False,4,True,4
0.375,0.208,0.25,0.167,13,True,4,True,2
0.36,0.2,0.24,0.2,12,False,4,True,3
0.346,0.192,0.231,0.231,12,False,4,True,2
0.474,0.316,0.105,0.105,12,False,3,True,9
0.45,0.3,0.1,0.15,12,False,3,True,9
0.429,0.286,0.095,0.19,11,False,3,True,9
0.409,0.273,0.091,0.227,10,False,3,False,10
0.391,0.261,0.087,0.261,10,False,3,False,10
0.45,0.3,0.15,0.1,12,False,4,True,8
0.429,0.286,0.143,0.143,12,False,4,True,8
0.409,0.273,0.136,0.182,12,False,4,True,8
0.391,0.261,0.13,0.217,11,False,4,True,8
0.375,0.25,0.125,0.25,11,False,4,True,8
0.429,0.286,0.19,0.095,12,False,4,True,6
0.409,0.273,0.182,0.136,12,False,4,True,6
0.391,0.261,0.174,0.174,12,False,4,True,6
0.375,0.25,0.167,0.208,12,False,5,True,5
0.36,0.24,0.16,0.24,12,False,5,True,4
0.409,0.273,0.227,0.091,13,True,4,True,3
0.391,0.261,0.217,0.13,13,True,4,True,3
0.375,0.25,0.208,0.167,13,True,4,True,1
0.36,0.24,0.2,0.2,13,True,5,True,2
0.346,0.231,0.192,0.231,12,False,4,True,2
0.391,0.261,0.261,0.087,12,False,4,True,4
0.375,0.25,0.25,0.125,13,True,4,True,2
0.36,0.24,0.24,0.16,13,True,4,True,2
0.346,0.231,0.231,0.192,13,True,4,True,2
0.333,0.222,0.222,0.222,12,False,4,True,2
0.45,0.35,0.1,0.1,12,False,3,True,10
0.429,0.333,0.095,0.143,12,False,3,True,10
0.409,0.318,0.091,0.182,11,False,3,True,10
0.391,0.304,0.087,0.217,10,False,3,True,9
0.375,0.292,0.083,0.25,10,False,3,False,10
0.429,0.333,0.143,0.095,12,False,4,True,9
0.409,0.318,0.136,0.136,12,False,4,True,8
0.391,0.304,0.13,0.174,11,False,4,True,8
0.375,0.292,0.125,0.208,11,False,4,True,8
0.36,0.28,0.12,0.24,11,False,4,True,9
0.409,0.318,0.182,0.091,12,False,4,True,6
0.391,0.304,0.174,0.13,12,False,4,True,6
0.375,0.292,0.167,0.167,12,False,4,True,6
0.36,0.28,0.16,0.2,12,False,5,True,5
0.346,0.269,0.154,0.231,11,False,5,True,6
0.391,0.304,0.217,0.087,13,True,4,True,3
0.375,0.292,0.208,0.125,13,True,4,True,3
0.36,0.28,0.2,0.16,13,True,5,True,1
0.346,0.269,0.192,0.192,13,True,5,True,2
0.333,0.259,0.185,0.222,13,True,4,True,2
0.375,0.292,0.25,0.083,12,False,4,True,3
0.36,0.28,0.24,0.12,13,True,4,True,2
0.346,0.269,0.231,0.154,13,True,4,True,2
0.333,0.259,0.222,0.185,13,True,4,True,1
0.321,0.25,0.214,0.214,12,False,4,True,2
